1	false	true	Germany:::be nationality of:::Jacques Offenbach	Germany:::be:::nationality of Jacques Offenbach
1	false	true	France:::be nationality of:::Jacques Offenbach	France:::be:::nationality of Jacques Offenbach
1	false	true	Thousand Oaks:::be nationality of:::Jacques Offenbach	Thousand Oaks:::be:::nationality of Jacques Offenbach
1	false	true	Jacques Offenbach (20 June 1819 – 5 October 1880), composer and cellist, was one of the originators of the operetta form, a precursor of the modern musical comedy.:::be nationality of:::Jacques Offenbach	Jacques Offenbach (20 June 1819 – 5 October 1880), composer and cellist, was one of the originators of the operetta form, a precursor of the modern musical comedy.:::be:::nationality of Jacques Offenbach
1	false	true	Mozart:::be nationality of:::Jacques Offenbach	Mozart:::be:::nationality of Jacques Offenbach
1	false	true	La Vie Parisienne:::be nationality of:::Jacques Offenbach	La Vie Parisienne:::be:::nationality of Jacques Offenbach
1	true	true	French:::be nationality of:::Jacques Offenbach	French:::be:::nationality of Jacques Offenbach
1	false	true	English:::be nationality of:::Jacques Offenbach	English:::be:::nationality of Jacques Offenbach
5	false	false	Northrop     Qualifications:::be occupation of:::Wakefield Cadman	Northrop     Qualifications:::be:::occupation of Wakefield Cadman
5	false	false	Project planner:::be occupation of:::Wakefield Cadman	Project planner:::be:::occupation of Wakefield Cadman
5	false	false	Financial planning experience:::be occupation of:::Wakefield Cadman	Financial planning experience:::be:::occupation of Wakefield Cadman
5	false	true	composer:::be occupation of:::Wakefield Cadman	composer:::be:::occupation of Wakefield Cadman
5	false	false	Guard:::be occupation of:::Wakefield Cadman	Guard:::be:::occupation of Wakefield Cadman
5	false	false	Captain:::be occupation of:::Wakefield Cadman	Captain:::be:::occupation of Wakefield Cadman
9	false	true	Arthur Honegger symphonic poem Pacific:::write:::pacific 231	Arthur Honegger symphonic poem Pacific:::be:::composer
9	false	false	Roberts:::write:::pacific 231	Roberts:::be:::composer
9	false	true	Liberty National:::write:::pacific 231	Liberty National:::be:::composer
11	false	false	30:::be name of:::piece by Jeremiah Clarke	30:::be:::name of piece by Jeremiah Clarke
11	false	false	16:::be name of:::piece by Jeremiah Clarke	16:::be:::name of piece by Jeremiah Clarke
11	false	true	a rondo:::be name of:::piece by Jeremiah Clarke	a rondo:::be:::name of piece by Jeremiah Clarke
11	false	false	Henry Purcell:::be name of:::piece by Jeremiah Clarke	Henry Purcell:::be:::name of piece by Jeremiah Clarke
11	false	false	Treasury:::be name of:::piece by Jeremiah Clarke	Treasury:::be:::name of piece by Jeremiah Clarke
13	false	true	Number:::be occupation of:::Richard Clayderman	Number:::be:::occupation of Richard Clayderman
13	false	false	teacher     Qualifications:::be occupation of:::Richard Clayderman	teacher     Qualifications:::be:::occupation of Richard Clayderman
13	false	true	ways:::be occupation of:::Richard Clayderman	ways:::be:::occupation of Richard Clayderman
13	true	true	pianist:::be occupation of:::Richard Clayderman	pianist:::be:::occupation of Richard Clayderman
13	false	true	artist:::be occupation of:::Richard Clayderman	artist:::be:::occupation of Richard Clayderman
13	true	true	Composer:::be occupation of:::Richard Clayderman	Composer:::be:::occupation of Richard Clayderman
13	false	true	teachers:::be occupation of:::Richard Clayderman	teachers:::be:::occupation of Richard Clayderman
16	false	false	Emerson Lake Palmer:::form in:::1970	1970:::be:::year
16	false	false	Emerson Lake Palmer:::form in:::1993	1993:::be:::year
16	false	false	Emerson Lake Palmer:::form in:::1971	1971:::be:::year
16	false	false	Emerson Lake Palmer:::form in:::1986	1986:::be:::year
16	false	false	Emerson Lake Palmer:::form in:::1972	1972:::be:::year
16	false	false	Emerson Lake Palmer:::form in:::2003	2003:::be:::year
19	false	true	Kelly:::release song in:::a Minor
19	false	true	B hit for Bobby Brown:::release song in:::a Minor
19	false	true	Songs:::release song in:::a Minor
19	false	false	Alicia:::release song in:::a Minor
19	false	true	Tony Joe White:::release song in:::a Minor
19	false	false	Columbia Records:::release song in:::a Minor
19	false	true	Grieg:::release song in:::a Minor
19	false	true	Dante Symphony:::release song in:::a Minor
21	false	true	L'Arc:::be name of:::common	L'Arc:::be:::name of common
21	false	true	Real Madrid:::be name of:::common	Real Madrid:::be:::name of common
