acomp	reverse_entailment	
advcl	reverse_entailment	
advmod	reverse_entailment	
acl	reverse_entailment	
agent	independence	
purpcl	reverse_entailment	deprecated into advmod
amod	reverse_entailment	
appos	reverse_entailment	
aux	independence	he left -/-> he should leave
auxpass	independence	some cat adopts -/-> some cat got adopted
cc	reverse_entailment	match dep_conj
ccomp	independence	interesting project here... "he said x" -> "x"?
conj	reverse_entailment	match dep_cc
cop	independence	
compound	independence	
name	independence	
csubj	independence	don't drop subjects.
csubjpass	independence	as above
dep	reverse_entailment	
det	equivalent	todo(gabor) better treatment of generics?
discourse	equivalent	
dobj	reverse_entailment	but, "he studied NLP at Stanford" -> "he studied NLP"
expl	equivalent	though we shouldn't see this...
goeswith	equivalent	also shouldn't see this
iobj	reverse_entailment	she gave me a raise -> she gave a raise
mark	equivalent	he says that you like to swim <-> he says you like to swim
mwe	independence	shouldn't see this
neg	negation	
nn	independence	
npadvmod	reverse_entailment	"9 months after his election, <main clause>"
nsubj	independence	
nsubjpass	independence	
num	independence	gets a bit too vague if we allow deleting this? "he served three terms" -?-> "he served terms"
number	independence	
parataxis	independence	or, reverse?
pcomp	independence	though, not so in collapsed dependencies
pobj	independence	must delete whole preposition
case	reverse_entailment
nmod:poss	forward_entailment	professors are smart -> Berkeley's professors are smart
possessive	independence	see dep_poss
preconj	independence	forbidden to see this
predet	independence	forbidden to see this
nmod	reverse_entailment	
prt	independence	
punct	equivalent	
quantmod	forward_entailment	
rcmod	reverse_entailment	"there are great tennors --rcmod--> who are modest"
root	independence	err.. never delete
tmod	reverse_entailment	
vmod	reverse_entailment	
partmod	reverse_entailment	deprecated into vmod
infmod	reverse_entailment	deprecated into vmod
xcomp	reverse_entailment	
conj:and	reverse_entailment	
conj:and\\/or	reverse_entailment	
conj:both	reverse_entailment	
conj:but	reverse_entailment	
conj:or	forward_entailment	
conj:nor	forward_entailment	
conj:plus	forward_entailment	
conj:x	reverse_entailment	
nmod:aboard	reverse_entailment
nmod:about	reverse_entailment
nmod:above	reverse_entailment
nmod:across	reverse_entailment
nmod:after	reverse_entailment
nmod:against	reverse_entailment
nmod:along	reverse_entailment
nmod:alongside	reverse_entailment
nmod:amid	reverse_entailment
nmod:among	reverse_entailment
nmod:anti	reverse_entailment
nmod:around	reverse_entailment
nmod:as	reverse_entailment
nmod:at	reverse_entailment
nmod:before	reverse_entailment
nmod:behind	reverse_entailment
nmod:below	reverse_entailment
nmod:beneath	reverse_entailment
nmod:beside	reverse_entailment
nmod:besides	reverse_entailment
nmod:between	reverse_entailment
nmod:beyond	reverse_entailment
nmod:but	reverse_entailment
nmod:by	reverse_entailment
nmod:concerning	reverse_entailment
nmod:considering	reverse_entailment
nmod:despite	reverse_entailment
nmod:down	reverse_entailment
nmod:during	reverse_entailment
nmod:en	reverse_entailment
nmod:except	reverse_entailment
nmod:excepting	reverse_entailment
nmod:excluding	reverse_entailment
nmod:following	reverse_entailment
nmod:for	reverse_entailment
nmod:from	reverse_entailment
nmod:if	reverse_entailment
nmod:in	reverse_entailment
nmod:including	reverse_entailment
nmod:inside	reverse_entailment
nmod:into	reverse_entailment
nmod:like	reverse_entailment
nmod:minus	reverse_entailment
nmod:near	reverse_entailment
nmod:of	reverse_entailment
nmod:off	reverse_entailment
nmod:on	reverse_entailment
nmod:onto	reverse_entailment
nmod:opposite	reverse_entailment
nmod:out	reverse_entailment
nmod:outside	reverse_entailment
nmod:over	reverse_entailment
nmod:past	reverse_entailment
nmod:per	reverse_entailment
nmod:plus	reverse_entailment
nmod:regarding	reverse_entailment
nmod:round	reverse_entailment
nmod:save	reverse_entailment
nmod:since	reverse_entailment
nmod:than	reverse_entailment
nmod:through	reverse_entailment
nmod:throughout	reverse_entailment
nmod:to	reverse_entailment
nmod:toward	reverse_entailment
nmod:towards	reverse_entailment
nmod:under	reverse_entailment
nmod:underneath	reverse_entailment
nmod:unlike	reverse_entailment
nmod:until	reverse_entailment
nmod:up	reverse_entailment
nmod:upon	reverse_entailment
nmod:versus	reverse_entailment
nmod:vs.	reverse_entailment
nmod:via	reverse_entailment
nmod:with	reverse_entailment
nmod:within	reverse_entailment
nmod:without	reverse_entailment
nmod:whether	reverse_entailment
nmod:according_to	reverse_entailment
nmod:as_per	reverse_entailment
nmod:compared_to	reverse_entailment
nmod:instead_of	reverse_entailment
nmod:preparatory_to	reverse_entailment
nmod:across_from	reverse_entailment
nmod:as_to	reverse_entailment
nmod:compared_with	reverse_entailment
nmod:irrespective_of	reverse_entailment
nmod:previous_to	reverse_entailment
nmod:ahead_of	reverse_entailment
nmod:aside_from	reverse_entailment
nmod:due_to	reverse_entailment
nmod:next_to	reverse_entailment
nmod:prior_to	reverse_entailment
nmod:along_with	reverse_entailment
nmod:away_from	reverse_entailment
